timestamp,thread_label,utilization,frequency
2023-03-25 15:52:30.076824333 +05:30,cpu3,79.411766,3816
2023-03-25 15:52:30.076852718 +05:30,cpu4,75.72816,3814
2023-03-25 15:52:30.076879924 +05:30,cpu5,76.69903,3816
2023-03-25 15:52:30.076907854 +05:30,cpu6,78.64078,3803
2023-03-25 15:52:30.076934647 +05:30,cpu7,70.19231,3818
2023-03-25 15:52:31.104462991 +05:30,cpu0,75.24753,3658
2023-03-25 15:52:31.104525886 +05:30,cpu1,78.43137,3652
2023-03-25 15:52:31.104554175 +05:30,cpu2,77.6699,3690
2023-03-25 15:52:31.104581684 +05:30,cpu3,72.81553,3659
2023-03-25 15:52:31.104608503 +05:30,cpu4,73.78641,3659
2023-03-25 15:52:31.104635423 +05:30,cpu5,72.81553,3659
2023-03-25 15:52:31.104662017 +05:30,cpu6,79.61166,3655
2023-03-25 15:52:31.104688726 +05:30,cpu7,75.4902,3664
2023-03-25 15:52:32.132415948 +05:30,cpu0,75.0,3693
2023-03-25 15:52:32.132816049 +05:30,cpu1,69.902916,3751
2023-03-25 15:52:32.132990210 +05:30,cpu2,78.64078,3751
2023-03-25 15:52:32.133125482 +05:30,cpu3,79.61166,3739
2023-03-25 15:52:32.133160650 +05:30,cpu4,75.72816,3751
2023-03-25 15:52:32.133194200 +05:30,cpu5,78.64078,3750
2023-03-25 15:52:32.133227158 +05:30,cpu6,78.64078,3751
2023-03-25 15:52:32.133259563 +05:30,cpu7,80.39216,3623
2023-03-25 15:52:33.172443979 +05:30,cpu0,75.0,3863
2023-03-25 15:52:33.172528203 +05:30,cpu1,71.15385,3870
2023-03-25 15:52:33.172583203 +05:30,cpu2,79.61166,3872
2023-03-25 15:52:33.172627419 +05:30,cpu3,77.14286,3894
2023-03-25 15:52:33.172660736 +05:30,cpu4,75.4902,3862
2023-03-25 15:52:33.172684973 +05:30,cpu5,79.61166,3905
2023-03-25 15:52:33.172707829 +05:30,cpu6,79.80769,3831
2023-03-25 15:52:33.172730528 +05:30,cpu7,77.88461,3863
2023-03-25 15:52:34.200447896 +05:30,cpu0,72.81553,3746
2023-03-25 15:52:34.200535692 +05:30,cpu1,74.03847,3708
2023-03-25 15:52:34.200568876 +05:30,cpu2,78.84615,3740
2023-03-25 15:52:34.200597329 +05:30,cpu3,76.69903,3755
2023-03-25 15:52:34.200625180 +05:30,cpu4,82.52427,3685
2023-03-25 15:52:34.200653050 +05:30,cpu5,75.2381,3746
2023-03-25 15:52:34.200680129 +05:30,cpu6,78.84615,3738
2023-03-25 15:52:34.200705968 +05:30,cpu7,72.54902,3746
2023-03-25 15:52:35.232383200 +05:30,cpu0,80.769226,3799
2023-03-25 15:52:35.233035261 +05:30,cpu1,70.87379,3756
2023-03-25 15:52:35.233078250 +05:30,cpu2,79.61166,3759
2023-03-25 15:52:35.233110076 +05:30,cpu3,77.6699,3746
2023-03-25 15:52:35.233140595 +05:30,cpu4,78.43137,3742
2023-03-25 15:52:35.233170863 +05:30,cpu5,79.411766,3757
2023-03-25 15:52:35.233201372 +05:30,cpu6,79.80769,3749
2023-03-25 15:52:35.233234603 +05:30,cpu7,78.64078,3746
2023-03-25 15:52:36.264373912 +05:30,cpu0,76.69903,3873
2023-03-25 15:52:36.264446031 +05:30,cpu1,69.60784,3814
2023-03-25 15:52:36.264475557 +05:30,cpu2,78.64078,3820
2023-03-25 15:52:36.264505818 +05:30,cpu3,79.80769,3810
2023-03-25 15:52:36.264534249 +05:30,cpu4,80.58252,3830
2023-03-25 15:52:36.264561625 +05:30,cpu5,73.07692,3817
2023-03-25 15:52:36.264589291 +05:30,cpu6,80.58252,3817
2023-03-25 15:52:36.264616867 +05:30,cpu7,78.64078,3814
2023-03-25 15:52:37.296369539 +05:30,cpu0,80.58252,3791
2023-03-25 15:52:37.296428874 +05:30,cpu1,74.28571,3805
2023-03-25 15:52:37.296455606 +05:30,cpu2,78.64078,3814
2023-03-25 15:52:37.296481170 +05:30,cpu3,80.39216,3798
2023-03-25 15:52:37.296506336 +05:30,cpu4,78.64078,3796
2023-03-25 15:52:37.296531505 +05:30,cpu5,73.78641,3813
2023-03-25 15:52:37.296556894 +05:30,cpu6,75.2381,3796
2023-03-25 15:52:37.296582059 +05:30,cpu7,80.769226,3779
2023-03-25 15:52:38.328380351 +05:30,cpu0,75.4902,3797
2023-03-25 15:52:38.328445408 +05:30,cpu1,76.69903,3916
2023-03-25 15:52:38.328479959 +05:30,cpu2,81.5534,2857
2023-03-25 15:52:38.328512412 +05:30,cpu3,79.80769,3973
2023-03-25 15:52:38.328543038 +05:30,cpu4,81.5534,3941
2023-03-25 15:52:38.328573656 +05:30,cpu5,81.90476,3322
2023-03-25 15:52:38.328605371 +05:30,cpu6,76.92308,3956
2023-03-25 15:52:38.328635957 +05:30,cpu7,78.64078,3961
2023-03-25 15:52:39.360372162 +05:30,cpu0,81.5534,3823
2023-03-25 15:52:39.360575297 +05:30,cpu1,72.11539,3841
2023-03-25 15:52:39.360716196 +05:30,cpu2,76.69903,3833
2023-03-25 15:52:39.360833575 +05:30,cpu3,81.5534,3834
2023-03-25 15:52:39.360936077 +05:30,cpu4,72.11539,3833
2023-03-25 15:52:39.360968012 +05:30,cpu5,77.45098,3800
2023-03-25 15:52:39.360999431 +05:30,cpu6,79.411766,3833
2023-03-25 15:52:39.361030513 +05:30,cpu7,81.37254,3820
2023-03-25 15:52:40.392358454 +05:30,cpu0,79.61166,3854
2023-03-25 15:52:40.392419028 +05:30,cpu1,70.588234,3722
2023-03-25 15:52:40.392450461 +05:30,cpu2,69.230774,3722
2023-03-25 15:52:40.392478692 +05:30,cpu3,70.19231,3720
2023-03-25 15:52:40.392505420 +05:30,cpu4,75.0,3723
2023-03-25 15:52:40.392532623 +05:30,cpu5,73.333336,3720
2023-03-25 15:52:40.392559246 +05:30,cpu6,80.39216,3711
2023-03-25 15:52:40.392585819 +05:30,cpu7,80.769226,3718
2023-03-25 15:52:41.416381618 +05:30,cpu0,75.72816,3851
2023-03-25 15:52:41.416468734 +05:30,cpu1,84.46602,3879
2023-03-25 15:52:41.416514267 +05:30,cpu2,84.46602,3851
2023-03-25 15:52:41.416556463 +05:30,cpu3,86.27451,3887
